gid,landarea_lbl,landarea_val,경도,위도
占썬끉沅?4bb50aa,1402.33,1402.3299999999900000000000000000000,126.875941,37.548815
占썬끉沅?4bb50ab,3664.58,3664.5799999999900000000000000000000,126.875922,37.551069
占썬끉沅?4bb50ba,9593.43,9593.4300000000000000000000000000000,126.875903,37.553322
占썬끉沅?4bb50bb,,,126.875884,37.555575
占썬끉沅?4bb51aa,,,126.875866,37.557828
占썬끉沅?4bb51ab,,,126.875847,37.560082
占썬끉沅?5aa49bb,1114.30,1114.2999999999900000000000000000000,126.878789,37.546577
占썬끉沅?5aa50aa,6586.76,6586.7600000000000000000000000000000,126.878771,37.548830
占썬끉沅?5aa50ab,9710.44,9710.4400000000000000000000000000000,126.878752,37.551083
占썬끉沅?5aa50ba,,,126.878733,37.553337
占썬끉沅?5aa50bb,,,126.878715,37.555590
占썬끉沅?5aa51aa,,,126.878696,37.557843
占썬끉沅?5ab50aa,,,126.881601,37.548845
占썬끉沅?5ab50bb,,,126.881545,37.555605
