values,address,area(m2),latitude,longitude
공동주택,서울특별시 강서구 방화대로21길 68,388.58,37.5632047,126.8139302
공동주택,서울특별시 강서구 방화대로21길 66,369.6,37.5632047,126.8139302
공동주택,서울특별시 강서구 방화대로23길 49-12,112.44,37.5642333,126.8142911
공동주택,서울특별시 강서구 방화대로23길 49-8,157.24,37.5642333,126.8142911
공동주택,서울특별시 강서구 공항대로7나길 10,132.36,37.5632,126.8121013
공동주택,서울특별시 강서구 방화대로21나길 ,186.48,37.5637356,126.8121827
공동주택,서울특별시 강서구 공항대로7길 45-5,140.22,37.5629987,126.8137367
공동주택,서울특별시 강서구 공항대로7길 45-25,194.18,37.562459,126.8129782
공동주택,서울특별시 강서구 공항대로7길 45-6,198.89,37.562459,126.8129782
공동주택,서울특별시 강서구 방화대로23길 29-7,173.8,37.5642333,126.8142911
공동주택,서울특별시 강서구 방화대로23길 29,173.36,37.5642333,126.8142911
공동주택,서울특별시 강서구 공항대로7다길 ,89.23,37.5632535,126.8131108
공동주택,서울특별시 강서구 공항대로7나길 6,169.92,37.5632,126.8121013
공동주택,서울특별시 강서구 공항대로5길 ,94.65,37.5619133,126.8121673
공동주택,서울특별시 강서구 공항대로5길 16,175.2,37.5619133,126.8121673
공동주택,서울특별시 강서구 공항대로5길 ,141.35,37.5619133,126.8121673
공동주택,서울특별시 강서구 공항대로5길 15,189.15,37.5619133,126.8121673
공동주택,서울특별시 강서구 공항대로7길 ,566.93,37.562459,126.8129782
공동주택,서울특별시 강서구 공항대로5길 ,232.78,37.5619133,126.8121673
공동주택,서울특별시 강서구 공항대로5길 19,153.18,37.5619133,126.8121673
공동주택,서울특별시 강서구 공항대로7길 20,120.51,37.562459,126.8129782
공동주택,서울특별시 강서구 공항대로7길 ,117.02,37.562459,126.8129782
공동주택,서울특별시 강서구 공항대로8길 77-20,178.4,37.560912,126.8122272
공동주택,서울특별시 강서구 공항대로 38-8,136.31,37.559911,126.8237676
공동주택,서울특별시 강서구 공항대로 38-10,142.34,37.5612563,126.8124407
공동주택,서울특별시 강서구 공항대로8길 27-15,150.19,37.560912,126.8122272
